所管,組織,,,,,,,,,                        項目,平成29年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,,,,,,,,,,"6,217,637","6,481,145","△ 263,508"
,,001,,,,,,,内廷費,,"324,000","324,000",0
,,,95,011,2,12,9,99,,(内廷費),"324,000","324,000",0
,,002,,,,,,,宮廷費,,"5,678,917","5,927,175","△ 248,258"
,,,95,011,2,12,9,06,,諸謝金,"25,756","28,739","△ 2,983"
,,,95,011,2,95,9,07,,報償費,"238,514","231,680","6,834"
,,,95,011,2,12,3,09,,庁費,"1,876,494","1,792,586","83,908"
,,,95,011,2,12,3,09,,招宴費,"66,845","68,645","△ 1,800"
,,,95,011,2,12,3,09,,各所修繕,"1,342,653","1,307,297","35,356"
,,,95,199,2,13,3,09,,自動車重量税,"1,122","1,338",△ 216
,,,95,011,2,20,4,15,,施設整備費,"2,068,750","2,438,107","△ 369,357"
,,,95,011,2,12,9,17,,交際費,"58,783","58,783",0
,,003,,,,,,,皇族費,,"214,720","229,970","△ 15,250"
,,,95,011,2,12,9,99,,(皇族費),"214,720","229,970","△ 15,250"
国会,衆議院,,,,,,,,,,"73,785,655","73,903,480","△ 117,825"
,,001,,,,,,,衆議院,,"64,597,250","64,794,584","△ 197,334"
,,,95,012,2,11,1,01,,議員歳費,"10,291,825","10,210,401","81,424"
,,,95,012,2,11,1,02,,職員基本給,"8,554,597","8,584,665","△ 30,068"
,,,95,012,2,11,1,03,,職員諸手当,"4,221,744","4,121,167","100,577"
,,,95,012,2,11,1,04,,超過勤務手当,"1,445,046","1,434,386","10,660"
,,,95,012,2,11,1,05,,議員秘書手当,"12,366,032","12,205,693","160,339"
,,,95,012,2,11,1,05,,非常勤職員手当,"215,396","212,939","2,457"
,,,95,012,2,11,1,05,,休職者給与,"34,466","36,385","△ 1,919"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"137,049","113,024","24,025"
,,,95,012,2,15,1,05,,公務災害補償費,"24,206","24,591",△ 385
,,,95,012,2,11,1,05,,退職手当,"1,332,418","1,522,046","△ 189,628"
,,,95,012,2,11,1,05,,議員秘書退職手当,"301,063","371,828","△ 70,765"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,440",△ 32
,,,95,089,2,11,1,05,,児童手当,"71,620","71,850",△ 230
,,,95,012,2,12,9,06,,諸謝金,"6,308","6,308",0
,,,95,012,2,12,2,08,,議員旅費,"315,612","315,612",0
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"5,700,000","5,700,000",0
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"144,980","144,980",0
,,,95,012,2,12,2,08,,赴任旅費,"2,526","2,526",0
,,,95,012,2,12,2,08,,証人等旅費,"11,821","11,821",0
,,,95,012,2,12,3,09,,庁費,"982,923","1,002,990","△ 20,067"
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,775,252","1,666,182","109,070"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"3,447,036","3,373,379","73,657"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"873,472","873,472",0
,,,95,012,2,12,3,09,,国会活動啓発費,"22,606","22,606",0
,,,95,012,2,12,3,09,,議案類印刷費,"701,596","701,596",0
,,,95,012,2,12,3,09,,招へい外国人滞在費,"72,256","72,256",0
,,,95,012,2,12,3,09,,各所修繕,"76,746","75,872",874
,,,95,012,2,12,3,09,,国政調査活動費,"383,907","409,489","△ 25,582"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"3,689,774","4,087,765","△ 397,991"
,,,95,199,2,13,3,09,,自動車重量税,"1,413","1,174",239
,,,95,012,2,12,3,11,,立法事務費,"3,705,000","3,705,000",0
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,370,474","2,340,493","29,981"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"525,543","568,042","△ 42,499"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,631,"2,097","△ 1,466"
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"549,528","534,047","15,481"
,,,95,012,2,72,5,16,,列国議会同盟分担金,"110,746","136,232","△ 25,486"
,,,95,012,2,12,9,17,,交際費,"58,063","58,063",0
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,467","2,467",0
,,002,,,,,,,衆議院施設費,,"9,181,405","9,101,896","79,509"
,,,95,012,1,20,2,08,,施設施工旅費,696,696,0
,,,95,012,1,20,3,09,,施設施工庁費,"28,498","3,500","24,998"
,,,95,012,1,20,4,15,,施設整備費,"1,064,548","1,095,889","△ 31,341"
,,,95,012,1,20,4,15,,不動産購入費,"8,087,663","8,001,811","85,852"
,,009,,,,,,,衆議院予備経費,,"7,000","7,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"7,000","7,000",0
,参議院,,,,,,,,,,"44,210,281","44,972,743","△ 762,462"
,,011,,,,,,,参議院,,"38,447,074","39,510,631","△ 1,063,557"
,,,95,012,2,11,1,01,,議員歳費,"5,252,974","5,211,408","41,566"
,,,95,012,2,11,1,02,,職員基本給,"6,556,254","6,524,206","32,048"
,,,95,012,2,11,1,03,,職員諸手当,"3,283,979","3,193,194","90,785"
,,,95,012,2,11,1,04,,超過勤務手当,"1,119,950","1,123,874","△ 3,924"
,,,95,012,2,11,1,05,,議員秘書手当,"6,304,587","6,397,106","△ 92,519"
,,,95,012,2,11,1,05,,非常勤職員手当,"146,259","145,561",698
,,,95,012,2,11,1,05,,休職者給与,"32,323","34,577","△ 2,254"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"82,170","81,642",528
,,,95,012,2,15,1,05,,公務災害補償費,"2,848","2,848",0
,,,95,012,2,11,1,05,,退職手当,"1,007,727","1,116,505","△ 108,778"
,,,95,012,2,11,1,05,,議員秘書退職手当,"189,472","882,285","△ 692,813"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,440",△ 32
,,,95,089,2,11,1,05,,児童手当,"49,460","49,635",△ 175
