所管,組織,,,,,,,,                             項目,,"平成29年度
成立予算額(千円)",補正要求,,,"改平成29年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
皇室費,皇室費,,,,,,,,,,"6,217,637","142,747",0,"142,747","6,360,384"
,,001,,,,,,,内廷費,,"324,000",0,0,0,"324,000"
,,002,,,,,,,宮廷費,,"5,678,917","142,747",0,"142,747","5,821,664"
,,,95,011,2,20,4,15,,施設整備費,"2,068,750","142,747",0,"142,747","2,211,497"
,,,95,011,2,12,9,06,,諸謝金外6目,"3,610,167",0,0,0,"3,610,167"
,,003,,,,,,,皇族費,,"214,720",0,0,0,"214,720"
国会,参議院,,,,,,,,,,"44,210,281",0,"△ 408,728","△ 408,728","43,801,553"
,,011,,,,,,,参議院,,"38,447,074",0,"△ 408,728","△ 408,728","38,038,346"
,,,95,012,2,11,1,02,,職員基本給,"6,556,254",0,"△ 94,651","△ 94,651","6,461,603"
,,,95,012,2,11,1,05,,議員秘書手当,"6,304,587",0,"△ 176,312","△ 176,312","6,128,275"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"82,170",0,"△ 31,222","△ 31,222","50,948"
,,,95,012,2,11,1,05,,退職手当,"1,007,727",0,"△ 10,513","△ 10,513","997,214"
,,,95,012,2,11,1,05,,議員秘書退職手当,"189,472",0,"△ 51,294","△ 51,294","138,178"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,771,717",0,"△ 44,736","△ 44,736","1,726,981"
,,,95,012,2,12,9,06,,諸謝金外31目,"22,535,147",0,0,0,"22,535,147"
,,012,,,,,,,参議院施設費,,"5,758,207",0,0,0,"5,758,207"
,,019,,,,,,,参議院予備経費,,"5,000",0,0,0,"5,000"
,国立国会図書館,,,,,,,,,,"22,213,199",0,"△ 151,386","△ 151,386","22,061,813"
,,021,,,,,,,国立国会図書館,,"18,083,495",0,"△ 139,858","△ 139,858","17,943,637"
