所管,組織,,,,,,,,                             項目,,"平成27年度
成立予算額(千円)",補正要求,,,"改平成27年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
国会,衆議院,,,,,,,,,,"74,296,439",0,"△ 1,185,152","△ 1,185,152","73,111,287"
,,001,,,,,,,衆議院,,"65,169,162",0,"△ 1,185,152","△ 1,185,152","63,984,010"
,,,95,012,2,11,1,02,,職員基本給,"8,519,374",0,"△ 75,684","△ 75,684","8,443,690"
,,,95,012,2,11,1,05,,議員秘書手当,"12,133,348",0,"△ 491,447","△ 491,447","11,641,901"
,,,95,012,2,11,1,05,,休職者給与,"40,685",0,"△ 13,860","△ 13,860","26,825"
,,,95,012,2,11,1,05,,退職手当,"1,960,629",0,"△ 365,100","△ 365,100","1,595,529"
,,,95,012,2,11,1,05,,議員秘書退職手当,"403,229",0,"△ 43,259","△ 43,259","359,970"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"3,354,864",0,"△ 87,994","△ 87,994","3,266,870"
,,,95,012,2,12,3,09,,国政調査活動費,"434,608",0,"△ 4,639","△ 4,639","429,969"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,292,225",0,"△ 103,169","△ 103,169","2,189,056"
,,,95,012,2,12,9,06,,諸謝金外30目,"36,030,200",0,0,0,"36,030,200"
,,002,,,,,,,衆議院施設費,,"9,120,277",0,0,0,"9,120,277"
,,009,,,,,,,衆議院予備経費,,"7,000",0,0,0,"7,000"
,参議院,,,,,,,,,,"44,080,036",0,"△ 502,294","△ 502,294","43,577,742"
,,011,,,,,,,参議院,,"38,638,839",0,"△ 502,294","△ 502,294","38,136,545"
,,,95,012,2,11,1,02,,職員基本給,"6,577,246",0,"△ 154,889","△ 154,889","6,422,357"
,,,95,012,2,11,1,05,,議員秘書手当,"6,210,186",0,"△ 137,917","△ 137,917","6,072,269"
,,,95,012,2,11,1,05,,退職手当,"1,268,826",0,"△ 127,836","△ 127,836","1,140,990"
,,,95,012,2,11,1,05,,議員秘書退職手当,"196,864",0,"△ 19,241","△ 19,241","177,623"
