所管,組織,,,,,,,,,                        項目,平成30年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,,,,,,,,,,"9,859,615","6,217,637","3,641,978"
,,001,,,,,,,内廷費,,"324,000","324,000",0
,,,95,011,2,12,9,99,,(内廷費),"324,000","324,000",0
,,002,,,,,,,宮廷費,,"9,171,445","5,678,917","3,492,528"
,,,95,011,2,12,9,06,,諸謝金,"38,457","25,756","12,701"
,,,95,011,2,95,9,07,,報償費,"318,877","238,514","80,363"
,,,95,011,2,12,3,09,,庁費,"3,938,408","1,876,494","2,061,914"
,,,95,011,2,12,3,09,,招宴費,"68,492","66,845","1,647"
,,,95,011,2,12,3,09,,各所修繕,"1,329,719","1,342,653","△ 12,934"
,,,95,199,2,13,3,09,,自動車重量税,"1,448","1,122",326
,,,95,011,2,20,4,15,,施設整備費,"3,417,261","2,068,750","1,348,511"
,,,95,011,2,12,9,17,,交際費,"58,783","58,783",0
,,003,,,,,,,皇族費,,"364,170","214,720","149,450"
,,,95,011,2,12,9,99,,(皇族費),"364,170","214,720","149,450"
国会,衆議院,,,,,,,,,,"73,351,378","73,785,655","△ 434,277"
,,001,,,,,,,衆議院,,"64,150,434","64,597,250","△ 446,816"
,,,95,012,2,11,1,01,,議員歳費,"10,119,274","10,291,825","△ 172,551"
,,,95,012,2,11,1,02,,職員基本給,"8,680,085","8,554,597","125,488"
,,,95,012,2,11,1,03,,職員諸手当,"4,354,204","4,221,744","132,460"
,,,95,012,2,11,1,04,,超過勤務手当,"1,454,770","1,445,046","9,724"
,,,95,012,2,11,1,05,,議員秘書手当,"12,076,816","12,366,032","△ 289,216"
,,,95,012,2,11,1,05,,非常勤職員手当,"224,328","215,396","8,932"
,,,95,012,2,11,1,05,,休職者給与,"34,463","34,466",△ 3
,,,95,012,2,11,1,05,,短時間勤務職員給与,"158,534","137,049","21,485"
,,,95,012,2,15,1,05,,公務災害補償費,"23,284","24,206",△ 922
,,,95,012,2,11,1,05,,退職手当,"1,399,778","1,332,418","67,360"
,,,95,012,2,11,1,05,,議員秘書退職手当,"251,849","301,063","△ 49,214"
,,,95,012,2,15,1,05,,弔慰金,"41,408","41,408",0
,,,95,089,2,11,1,05,,児童手当,"70,810","71,620",△ 810
,,,95,012,2,12,9,06,,諸謝金,"6,308","6,308",0
,,,95,012,2,12,2,08,,議員旅費,"315,612","315,612",0
,,,95,012,2,12,2,08,,議員文書通信交通滞在費,"5,580,000","5,700,000","△ 120,000"
,,,95,012,2,12,2,08,,議会雑費,"29,700","29,700",0
,,,95,012,2,12,2,08,,職員旅費,"144,980","144,980",0
,,,95,012,2,12,2,08,,赴任旅費,"2,526","2,526",0
,,,95,012,2,12,2,08,,証人等旅費,"11,821","11,821",0
,,,95,012,2,12,3,09,,庁費,"982,923","982,923",0
,,,95,012,2,12,3,09,,情報処理業務庁費,"1,827,897","1,775,252","52,645"
,,,95,012,2,12,3,09,,議員会館管理等運営庁費,"3,452,645","3,447,036","5,609"
,,,95,012,2,12,3,09,,議員特殊乗車券等購入費,"873,472","873,472",0
,,,95,012,2,12,3,09,,国会活動啓発費,"22,606","22,606",0
,,,95,012,2,12,3,09,,議案類印刷費,"695,549","701,596","△ 6,047"
,,,95,012,2,12,3,09,,招へい外国人滞在費,"72,256","72,256",0
,,,95,012,2,12,3,09,,各所修繕,"78,117","76,746","1,371"
,,,95,012,2,12,3,09,,国政調査活動費,"361,034","383,907","△ 22,873"
,,,95,012,2,12,3,09,,公共施設等維持管理運営費,"3,494,801","3,689,774","△ 194,973"
,,,95,199,2,13,3,09,,自動車重量税,"1,417","1,413",4
,,,95,012,2,12,3,11,,立法事務費,"3,627,000","3,705,000","△ 78,000"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,399,637","2,370,474","29,163"
,,,95,012,2,11,5,16,,基礎年金等国家公務員共済組合負担金,"532,198","525,543","6,655"
,,,95,012,2,11,5,16,,育児休業手当金国家公務員共済組合負担金,928,631,297
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"572,811","549,528","23,283"
,,,95,012,2,72,5,16,,列国議会同盟分担金,"114,063","110,746","3,317"
,,,95,012,2,12,9,17,,交際費,"58,063","58,063",0
,,,95,012,2,95,9,18,,賠償償還及払戻金,"2,467","2,467",0
,,002,,,,,,,衆議院施設費,,"9,193,944","9,181,405","12,539"
,,,95,012,1,20,2,08,,施設施工旅費,696,696,0
,,,95,012,1,20,3,09,,施設施工庁費,"23,963","28,498","△ 4,535"
,,,95,012,1,20,4,15,,施設整備費,"1,071,154","1,064,548","6,606"
,,,95,012,1,20,4,15,,不動産購入費,"8,098,131","8,087,663","10,468"
,,009,,,,,,,衆議院予備経費,,"7,000","7,000",0
,,,95,012,2,95,9,99,,(国会予備経費),"7,000","7,000",0
,参議院,,,,,,,,,,"45,882,976","44,210,281","1,672,695"
