所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
皇室費,皇室費,,,,,,,,,,"9,859,615","143,865","△ 45,368","98,497","9,958,112"
,,001,,,,,,,内廷費,,"324,000",0,0,0,"324,000"
,,002,,,,,,,宮廷費,,"9,171,445","143,865",0,"143,865","9,315,310"
,,,95,011,2,12,3,09,,各所修繕,"1,329,719","143,865",0,"143,865","1,473,584"
,,,95,011,2,12,9,06,,諸謝金外6目,"7,841,726",0,0,0,"7,841,726"
,,003,,,,,,,皇族費,,"364,170",0,"△ 45,368","△ 45,368","318,802"
,,,95,011,2,12,9,99,,(皇族費),"364,170",0,"△ 45,368","△ 45,368","318,802"
国会,衆議院,,,,,,,,,,"73,351,378","27,756","△ 311,583","△ 283,827","73,067,551"
,,001,,,,,,,衆議院,,"64,150,434",0,"△ 311,583","△ 311,583","63,838,851"
,,,95,012,2,11,1,05,,議員秘書手当,"12,076,816",0,"△ 218,223","△ 218,223","11,858,593"
,,,95,012,2,12,3,09,,議案類印刷費,"695,549",0,"△ 12,158","△ 12,158","683,391"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,399,637",0,"△ 81,202","△ 81,202","2,318,435"
,,,95,012,2,12,9,06,,諸謝金外35目,"48,978,432",0,0,0,"48,978,432"
,,002,,,,,,,衆議院施設費,,"9,193,944","27,756",0,"27,756","9,221,700"
,,,95,012,1,20,4,15,,施設整備費,"1,071,154","27,756",0,"27,756","1,098,910"
,,,95,012,1,20,2,08,,施設施工旅費外2目,"8,122,790",0,0,0,"8,122,790"
,,009,,,,,,,衆議院予備経費,,"7,000",0,0,0,"7,000"
,参議院,,,,,,,,,,"45,882,976",0,"△ 216,111","△ 216,111","45,666,865"
,,011,,,,,,,参議院,,"39,001,203",0,"△ 216,111","△ 216,111","38,785,092"
,,,95,012,2,11,1,05,,議員秘書手当,"6,393,497",0,"△ 137,907","△ 137,907","6,255,590"
,,,95,012,2,11,1,05,,休職者給与,"32,783",0,"△ 2,784","△ 2,784","29,999"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"82,772",0,"△ 28,806","△ 28,806","53,966"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,796,196",0,"△ 46,614","△ 46,614","1,749,582"
,,,95,012,2,12,9,06,,諸謝金外33目,"30,695,955",0,0,0,"30,695,955"
,,012,,,,,,,参議院施設費,,"6,876,773",0,0,0,"6,876,773"
,,019,,,,,,,参議院予備経費,,"5,000",0,0,0,"5,000"
,国立国会図書館,,,,,,,,,,"23,076,131",0,"△ 88,405","△ 88,405","22,987,726"
,,021,,,,,,,国立国会図書館,,"18,188,735",0,"△ 88,405","△ 88,405","18,100,330"
,,,95,012,2,11,1,02,,職員基本給,"4,597,606",0,"△ 29,449","△ 29,449","4,568,157"
,,,95,012,2,11,1,05,,退職手当,"468,875",0,"△ 7,604","△ 7,604","461,271"
,,,95,012,2,12,3,09,,電子計算機等借料,"1,332,188",0,"△ 14,792","△ 14,792","1,317,396"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,210,525",0,"△ 36,560","△ 36,560","1,173,965"
,,,95,012,2,12,9,06,,諸謝金外27目,"10,579,541",0,0,0,"10,579,541"
,,022,,,,,,,国立国会図書館施設費,,"4,887,396",0,0,0,"4,887,396"
,裁判官訴追委員会,,,,,,,,,,"131,783",0,"△ 4,117","△ 4,117","127,666"
,,031,,,,,,,裁判官訴追委員会,,"131,783",0,"△ 4,117","△ 4,117","127,666"
,,,95,012,2,11,1,02,,職員基本給,"72,486",0,"△ 1,924","△ 1,924","70,562"
,,,95,012,2,11,1,03,,職員諸手当,"36,687",0,"△ 1,379","△ 1,379","35,308"
