所管,組織,,,,,,,,,                        項目,平成28年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
皇室費,皇室費,,,,,,,,,,"6,099,554","6,116,909","△ 17,355"
,,001,,,,,,,内廷費,,"324,000","324,000",0
,,,95,011,2,12,9,99,,(内廷費),"324,000","324,000",0
,,002,,,,,,,宮廷費,,"5,545,584","5,562,939","△ 17,355"
,,,95,011,2,12,9,06,,諸謝金,"28,739","28,770",△ 31
,,,95,011,2,95,9,07,,報償費,"231,680","225,623","6,057"
,,,95,011,2,12,3,09,,庁費,"1,792,586","1,792,592",△ 6
,,,95,011,2,12,3,09,,招宴費,"68,645","69,606",△ 961
,,,95,011,2,12,3,09,,各所修繕,"1,294,663","1,293,936",727
,,,95,199,2,13,3,09,,自動車重量税,"1,338","1,141",197
,,,95,011,2,20,4,15,,施設整備費,"2,069,150","2,092,488","△ 23,338"
,,,95,011,2,12,9,17,,交際費,"58,783","58,783",0
,,003,,,,,,,皇族費,,"229,970","229,970",0
,,,95,011,2,12,9,99,,(皇族費),"229,970","229,970",0
国会,衆議院,,,,,,,,,,"73,903,480","74,296,439","△ 392,959"
,,001,,,,,,,衆議院,,"64,794,584","65,169,162","△ 374,578"
,,,95,012,2,11,1,01,,議員歳費,"10,210,401","10,157,885","52,516"
,,,95,012,2,11,1,02,,職員基本給,"8,584,665","8,519,374","65,291"
,,,95,012,2,11,1,03,,職員諸手当,"4,121,167","4,052,515","68,652"
,,,95,012,2,11,1,04,,超過勤務手当,"1,434,386","1,433,765",621
,,,95,012,2,11,1,05,,議員秘書手当,"12,205,693","12,133,348","72,345"
,,,95,012,2,11,1,05,,非常勤職員手当,"212,939","206,797","6,142"
,,,95,012,2,11,1,05,,休職者給与,"36,385","40,685","△ 4,300"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"113,024","88,857","24,167"
,,,95,012,2,15,1,05,,公務災害補償費,"24,591","20,319","4,272"
,,,95,012,2,11,1,05,,退職手当,"1,522,046","1,960,629","△ 438,583"
,,,95,012,2,11,1,05,,議員秘書退職手当,"371,828","403,229","△ 31,401"
,,,95,012,2,15,1,05,,弔慰金,"41,440","41,408",32
