所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,,95,016,2,12,9,06,,諸謝金外29目,"20,109,289",0,0,0,"20,109,289"
,,152,,,,,,,金融政策費,,"2,583,184","4,526",0,"4,526","2,587,710"
,,,95,016,2,12,3,09,,情報処理業務庁費,"1,396,447","4,526",0,"4,526","1,400,973"
,,,95,016,2,12,9,06,,諸謝金外12目,"1,186,737",0,0,0,"1,186,737"
,消費者庁,,,,,,,,,,"11,994,368","550,000",0,"550,000","12,544,368"
,,161,,,,,,,消費者庁共通費,,"5,042,142","15,000",0,"15,000","5,057,142"
,,,95,016,2,12,3,09,,情報処理業務庁費,"990,220","15,000",0,"15,000","1,005,220"
,,,95,016,2,12,9,06,,諸謝金外19目,"4,051,922",0,0,0,"4,051,922"
,,162,,,,,,,消費者政策費,,"3,831,883","400,000",0,"400,000","4,231,883"
,,,95,016,2,81,5,16,,地方消費者行政強化交付金,"2,000,000","400,000",0,"400,000","2,400,000"
,,,95,016,2,12,9,06,,諸謝金外10目,"1,831,883",0,0,0,"1,831,883"
,,163,,,,,,,独立行政法人国民生活センター運営費,,"3,120,343","135,000",0,"135,000","3,255,343"
,,,95,191,2,30,5,16,,独立行政法人国民生活センター運営費交付金,"3,120,343","135,000",0,"135,000","3,255,343"
総務省,総務本省,,,,,,,,,,"16,733,220,001","12,911,711,518",0,"12,911,711,518","29,644,931,519"
,,001,,,,,,,総務本省共通費,,"41,791,659",0,0,0,"41,791,659"
,,002,,,,,,,総務本省施設費,,"1,061,457",0,0,0,"1,061,457"
,,004,,,,,,,行政管理実施費,,"114,520",0,0,0,"114,520"
,,005,,,,,,,行政評価等実施費,,"242,667",0,0,0,"242,667"
,,006,,,,,,,地方行政制度整備費,,"786,263",0,0,0,"786,263"
,,007,,,,,,,地域振興費,,"2,522,710",0,0,0,"2,522,710"
,,008,,,,,,,地方財政制度整備費,,"51,757",0,0,0,"51,757"
,,009,,,,,,,地方交付税交付金,,"15,608,534,600",0,0,0,"15,608,534,600"
,,010,,,,,,,地方特例交付金,,"200,727,000","24,882,000",0,"24,882,000","225,609,000"
,,,32,021,2,30,6,22,,交付税及び譲与税配付金特別会計へ繰入,"200,727,000","24,882,000",0,"24,882,000","225,609,000"
,,011,,,,,,,地方税制度整備費,,"37,239",0,0,0,"37,239"
,,012,,,,,,,選挙制度等整備費,,"201,722",0,0,0,"201,722"
,,013,,,,,,,電子政府・電子自治体推進費,,"418,995,610","1,695,520",0,"1,695,520","420,691,130"
,,,95,016,2,12,5,14,,社会保障・税番号制度システム開発等委託費,"8,440,618","1,695,520",0,"1,695,520","10,136,138"
,,,95,016,2,12,9,06,,諸謝金外9目,"410,554,992",0,0,0,"410,554,992"
,,014,,,,,,,情報通信技術研究開発推進費,,"7,556,072",0,0,0,"7,556,072"
,,015,,,,,,,国立研究開発法人情報通信研究機構運営費,,"27,940,000","496,000",0,"496,000","28,436,000"
,,,13,063,2,30,5,16,,国立研究開発法人情報通信研究機構運営費交付金,"27,940,000","496,000",0,"496,000","28,436,000"
,,016,,,,,,,国立研究開発法人情報通信研究機構施設整備費,,"90,200",0,0,0,"90,200"
,,017,,,,,,,情報通信技術高度利活用推進費,,"4,601,117","1,215,125",0,"1,215,125","5,816,242"
,,,95,063,2,12,2,08,,職員旅費,"21,000",673,0,673,"21,673"
,,,95,063,2,12,3,09,,情報通信技術研究開発調査費,"2,902,011","1,214,452",0,"1,214,452","4,116,463"
,,,95,063,2,12,9,06,,諸謝金外7目,"1,678,106",0,0,0,"1,678,106"
,,020,,,,,,,情報通信技術利用環境整備費,,"6,047,289",0,0,0,"6,047,289"
,,021,,,,,,,電波利用料財源電波監視等実施費,,"70,385,955","3,130,043",0,"3,130,043","73,515,998"
,,,95,063,2,12,3,09,,電波監視等業務庁費,"25,837,182","100,126",0,"100,126","25,937,308"
,,,95,063,2,92,5,16,,無線システム普及支援事業費等補助金,"13,171,759","3,029,917",0,"3,029,917","16,201,676"
,,,95,063,2,12,9,06,,諸謝金外23目,"31,377,014",0,0,0,"31,377,014"
,,022,,,,,,,情報通信国際戦略推進費,,"1,305,958",0,0,0,"1,305,958"
,,023,,,,,,,郵政行政推進費,,"756,057",0,0,0,"756,057"
,,024,,,,,,,一般戦災死没者追悼等事業費,,"565,059",0,0,0,"565,059"
,,026,,,,,,,恩給費,,"164,912,073",0,0,0,"164,912,073"
,,027,,,,,,,統計調査費,,"97,019,176",0,0,0,"97,019,176"
,,028,,,,,,,独立行政法人統計センター運営費,,"8,636,513",0,0,0,"8,636,513"
,,032,,,,,,,特別定額給付金給付事業助成費,,0,"12,880,292,830",0,"12,880,292,830","12,880,292,830"
,,,95,199,2,12,2,08,,職員旅費,0,"1,985",0,"1,985","1,985"
,,,95,199,2,12,3,09,,庁費,0,"8,025,728",0,"8,025,728","8,025,728"
,,,95,199,2,86,5,16,,特別定額給付金給付事業費補助金,0,"12,734,413,900",0,"12,734,413,900","12,734,413,900"
,,,95,199,2,86,5,16,,特別定額給付金給付事務費補助金,0,"137,851,217",0,"137,851,217","137,851,217"
,,029,,,,,,,政党助成費,,"31,797,328",0,0,0,"31,797,328"
,,030,,,,,,,国有提供施設等所在市町村助成交付金,,"29,140,000",0,0,0,"29,140,000"
,,031,,,,,,,施設等所在市町村調整交付金,,"7,400,000",0,0,0,"7,400,000"
,消防庁,,,,,,,,,,"16,344,273","2,002,055",0,"2,002,055","18,346,328"
,,071,,,,,,,消防庁共通費,,"2,270,343",0,0,0,"2,270,343"
,,073,,,,,,,消防庁施設費,,"132,575",0,0,0,"132,575"
,,072,,,,,,,消防防災体制等整備費,,"13,941,355","2,002,055",0,"2,002,055","15,943,410"
,,,95,014,2,12,3,09,,消防防災等業務庁費,"4,293,859","1,027,915",0,"1,027,915","5,321,774"
,,,95,014,2,82,5,16,,緊急消防援助隊設備整備費補助金,"4,985,940","974,140",0,"974,140","5,960,080"
,,,95,014,2,12,9,06,,諸謝金外20目,"4,661,556",0,0,0,"4,661,556"
法務省,法務本省,,,,,,,,,,"218,965,837","651,484",0,"651,484","219,617,321"
,,001,,,,,,,法務本省共通費,,"129,503,389",0,0,0,"129,503,389"
,,002,,,,,,,基本法制整備費,,"131,074",0,0,0,"131,074"
,,003,,,,,,,司法制度改革推進費,,"17,846,784",0,0,0,"17,846,784"
,,004,,,,,,,日本司法支援センター運営費,,"14,847,335","291,903",0,"291,903","15,139,238"
,,,95,014,2,40,5,16,,日本司法支援センター運営費交付金,"14,847,335","291,903",0,"291,903","15,139,238"
,,015,,,,,,,再犯防止等企画調整推進費,,"193,254",0,0,0,"193,254"
,,005,,,,,,,検察企画調整費,,"45,098",0,0,0,"45,098"
,,006,,,,,,,矯正企画調整費,,"156,426",0,0,0,"156,426"
,,007,,,,,,,更生保護企画調整推進費,,"426,431",0,0,0,"426,431"
,,008,,,,,,,債権管理回収業審査監督費,,"10,425",0,0,0,"10,425"
,,009,,,,,,,人権擁護推進費,,"1,311,583",0,0,0,"1,311,583"
,,010,,,,,,,訟務費,,"1,920,788",0,0,0,"1,920,788"
,,012,,,,,,,法務省施設費,,"48,958,658",0,0,0,"48,958,658"
,,013,,,,,,,法務行政情報化推進費,,"3,614,592","359,581",0,"359,581","3,974,173"
,,,95,014,2,12,3,09,,情報処理業務庁費,"3,614,592","359,581",0,"359,581","3,974,173"
,矯正官署,,,,,,,,,,"242,349,441","3,366,983",0,"3,366,983","245,716,424"
,,041,,,,,,,矯正官署共通費,,"171,870,487",0,0,0,"171,870,487"
,,042,,,,,,,矯正管理業務費,,"8,348,412","2,597,819",0,"2,597,819","10,946,231"
,,,95,014,2,12,3,09,,矯正管理業務庁費,"7,180,597","2,597,819",0,"2,597,819","9,778,416"
,,,95,014,2,12,9,06,,諸謝金外5目,"1,167,815",0,0,0,"1,167,815"
,,043,,,,,,,矯正収容費,,"42,898,209","769,164",0,"769,164","43,667,373"
,,,95,014,2,12,3,09,,収容諸費,"22,296,233","769,164",0,"769,164","23,065,397"
,,,95,014,2,12,9,06,,諸謝金外18目,"20,601,976",0,0,0,"20,601,976"
,,044,,,,,,,矯正施設民間開放推進費,,"19,232,333",0,0,0,"19,232,333"
,更生保護官署,,,,,,,,,,"27,539,859","17,312",0,"17,312","27,557,171"
,,051,,,,,,,更生保護官署共通費,,"14,319,162",0,0,0,"14,319,162"
,,052,,,,,,,更生保護活動費,,"13,220,697","17,312",0,"17,312","13,238,009"
,,,95,014,2,12,3,09,,更生保護業務庁費,"2,077,446","17,312",0,"17,312","2,094,758"
,,,95,014,2,12,9,06,,諸謝金外12目,"11,143,251",0,0,0,"11,143,251"
,法務局,,,,,,,,,,"137,702,165","15,964",0,"15,964","137,718,129"
,,061,,,,,,,法務局共通費,,"72,791,282",0,0,0,"72,791,282"
,,064,,,,,,,登記事務処理費,,"54,181,449","15,964",0,"15,964","54,197,413"
,,,95,014,2,12,3,09,,登記情報処理業務庁費,"33,843,433","15,964",0,"15,964","33,859,397"
,,,95,014,2,12,9,06,,諸謝金外6目,"20,338,016",0,0,0,"20,338,016"
,,062,,,,,,,国籍等事務処理費,,"8,577,561",0,0,0,"8,577,561"
,,063,,,,,,,人権擁護活動費,,"2,151,873",0,0,0,"2,151,873"
,出入国在留管理庁,,,,,,,,,,"61,794,766","1,678,714",0,"1,678,714","63,473,480"
,,101,,,,,,,出入国在留管理庁共通費,,"37,512,406",0,0,0,"37,512,406"
,,102,,,,,,,出入国管理企画調整推進費,,"3,054,710","1,074,900",0,"1,074,900","4,129,610"
,,,95,014,2,12,3,09,,出入国管理業務庁費,"274,993","841,045",0,"841,045","1,116,038"
,,,95,014,2,71,5,16,,特定技能試験実施費補助金,0,"89,855",0,"89,855","89,855"
,,,95,014,2,81,5,16,,外国人受入環境整備交付金,"1,200,000","144,000",0,"144,000","1,344,000"
,,,95,014,2,12,9,06,,諸謝金外8目,"1,579,717",0,0,0,"1,579,717"
,,103,,,,,,,出入国管理業務費,,"21,227,650","603,814",0,"603,814","21,831,464"
,,,95,014,2,12,3,09,,情報処理業務庁費,"10,550,627","442,640",0,"442,640","10,993,267"
