所管,組織,,,,,,,,                             項目,,"平成28年度
成立予算額(千円)",補正要求,,,"改平成28年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
皇室費,皇室費,,,,,,,,,,"6,481,145","278,050","△ 6,354","271,696","6,752,841"
,,001,,,,,,,内廷費,,"324,000",0,0,0,"324,000"
,,002,,,,,,,宮廷費,,"5,927,175","278,050",0,"278,050","6,205,225"
,,,95,011,2,20,4,15,,施設整備費,"2,438,107","278,050",0,"278,050","2,716,157"
,,,95,011,2,12,9,06,,諸謝金外6目,"3,489,068",0,0,0,"3,489,068"
,,003,,,,,,,皇族費,,"229,970",0,"△ 6,354","△ 6,354","223,616"
,,,95,011,2,12,9,99,,(皇族費),"229,970",0,"△ 6,354","△ 6,354","223,616"
国会,衆議院,,,,,,,,,,"73,903,480",0,"△ 175,975","△ 175,975","73,727,505"
,,001,,,,,,,衆議院,,"64,794,584",0,"△ 175,975","△ 175,975","64,618,609"
,,,95,012,2,11,1,02,,職員基本給,"8,584,665",0,"△ 153,906","△ 153,906","8,430,759"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"2,340,493",0,"△ 22,069","△ 22,069","2,318,424"
,,,95,012,2,12,9,06,,諸謝金外36目,"53,869,426",0,0,0,"53,869,426"
,,002,,,,,,,衆議院施設費,,"9,101,896",0,0,0,"9,101,896"
,,009,,,,,,,衆議院予備経費,,"7,000",0,0,0,"7,000"
,参議院,,,,,,,,,,"44,972,743",0,"△ 513,915","△ 513,915","44,458,828"
,,011,,,,,,,参議院,,"39,510,631",0,"△ 513,915","△ 513,915","38,996,716"
,,,95,012,2,11,1,02,,職員基本給,"6,524,206",0,"△ 64,836","△ 64,836","6,459,370"
,,,95,012,2,11,1,05,,議員秘書手当,"6,397,106",0,"△ 296,084","△ 296,084","6,101,022"
,,,95,012,2,11,1,05,,退職手当,"1,116,505",0,"△ 63,376","△ 63,376","1,053,129"
,,,95,012,2,11,1,05,,議員秘書退職手当,"882,285",0,"△ 24,388","△ 24,388","857,897"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,773,681",0,"△ 65,231","△ 65,231","1,708,450"
,,,95,012,2,12,9,06,,諸謝金外32目,"22,816,848",0,0,0,"22,816,848"
,,012,,,,,,,参議院施設費,,"5,457,112",0,0,0,"5,457,112"
,,019,,,,,,,参議院予備経費,,"5,000",0,0,0,"5,000"
,国立国会図書館,,,,,,,,,,"19,556,320",0,"△ 96,918","△ 96,918","19,459,402"
,,021,,,,,,,国立国会図書館,,"18,130,198",0,"△ 96,918","△ 96,918","18,033,280"
,,,95,012,2,11,1,02,,職員基本給,"4,554,570",0,"△ 41,171","△ 41,171","4,513,399"
,,,95,012,2,11,1,05,,短時間勤務職員給与,"65,794",0,"△ 25,315","△ 25,315","40,479"
,,,95,012,2,11,1,05,,退職手当,"561,687",0,"△ 1,205","△ 1,205","560,482"
,,,95,012,2,12,3,09,,電子計算機等借料,"1,177,477",0,"△ 3,620","△ 3,620","1,173,857"
,,,95,012,2,11,5,16,,国家公務員共済組合負担金,"1,152,808",0,"△ 25,607","△ 25,607","1,127,201"
,,,95,012,2,12,9,06,,諸謝金外26目,"10,617,862",0,0,0,"10,617,862"
,,022,,,,,,,国立国会図書館施設費,,"1,426,122",0,0,0,"1,426,122"
,裁判官訴追委員会,,,,,,,,,,"128,217",0,"△ 3,653","△ 3,653","124,564"
,,031,,,,,,,裁判官訴追委員会,,"128,217",0,"△ 3,653","△ 3,653","124,564"
,,,95,012,2,11,1,02,,職員基本給,"72,283",0,"△ 1,968","△ 1,968","70,315"
,,,95,012,2,11,1,03,,職員諸手当,"34,407",0,"△ 1,030","△ 1,030","33,377"
,,,95,089,2,11,1,05,,児童手当,"1,560",0,△ 655,△ 655,905
,,,95,012,2,12,9,06,,諸謝金外7目,"19,967",0,0,0,"19,967"
,裁判官弾劾裁判所,,,,,,,,,,"112,063",0,"△ 4,731","△ 4,731","107,332"
,,041,,,,,,,裁判官弾劾裁判所,,"112,063",0,"△ 4,731","△ 4,731","107,332"
,,,95,012,2,11,1,02,,職員基本給,"66,508",0,"△ 2,782","△ 2,782","63,726"
,,,95,012,2,11,1,03,,職員諸手当,"35,112",0,"△ 1,559","△ 1,559","33,553"
,,,95,089,2,11,1,05,,児童手当,480,0,△ 390,△ 390,90
,,,95,012,2,12,9,06,,諸謝金外7目,"9,963",0,0,0,"9,963"
裁判所,裁判所,,,,,,,,,,"319,798,736",0,"△ 2,316,114","△ 2,316,114","317,482,622"
,,001,,,,,,,最高裁判所,,"75,485,918",0,"△ 1,787,329","△ 1,787,329","73,698,589"
,,,95,014,2,11,1,02,,職員基本給,"5,232,541",0,"△ 91,070","△ 91,070","5,141,471"
,,,95,014,2,11,1,03,,職員諸手当,"2,597,656",0,"△ 8,418","△ 8,418","2,589,238"
,,,95,014,2,11,1,05,,非常勤職員手当,"8,654",0,"△ 2,055","△ 2,055","6,599"
,,,95,014,2,11,1,05,,休職者給与,"386,859",0,"△ 24,385","△ 24,385","362,474"
,,,95,014,2,11,1,05,,短時間勤務職員給与,"3,086",0,"△ 1,708","△ 1,708","1,378"
,,,95,014,2,15,1,05,,公務災害補償費,"102,936",0,"△ 14,813","△ 14,813","88,123"
,,,95,014,2,11,1,05,,退職手当,"15,160,871",0,"△ 829,365","△ 829,365","14,331,506"
,,,95,089,2,11,1,05,,児童手当,"60,185",0,"△ 3,550","△ 3,550","56,635"
,,,95,014,2,12,9,06,,諸謝金,"261,974",0,"△ 2,686","△ 2,686","259,288"
,,,95,014,2,12,2,08,,司法修習生旅費,"241,666",0,"△ 6,741","△ 6,741","234,925"
,,,95,014,2,12,3,09,,庁費,"1,090,436",0,△ 112,△ 112,"1,090,324"
